cards,strength,rating,%
AsAcJc4s,103,1,
AsAcJc3s,103,1,
AsAcJc2s,103,1,
AsAhJh9s,105.5,1,
AsAhJh8s,105.5,1,
AdKsKdTs,130,1,
AsAdKd9s,116,1,
AsAdKd8s,116,1,
AsAdKd7s,116,1,
AsAhJh6s,103,1,
AsAhJh5s,103,1,
AcKsJsJc,103,1,
AcQsJsJc,105,1,
AsAcQcTc,116.5,1,
AsAcJc9s,105.5,1,
AsAcJc8s,105.5,1,
AsAcJc7s,103,1,
AsAdQd7s,109,1,
AsAdQd6s,109,1,
AsAdQd5s,109,1,
AsAdQd4s,109,1,
AhAcQhQd,180,1,
AhAcQdJh,120.5,1,
AdAcQsQd,180,1,
AhAdJdTd,128.5,1,
AsAdQdJc,126.5,1,
AsAhJh2s,103,1,
AhAdQdJc,126.5,1,
AsKhJsJh,103,1,
AsAdQhQd,180,1,
AsAhJh4s,103,1,
AsAhJh3s,103,1,
AsQsQcJc,134.5,1,
AsQcJsJc,105,1,
AsKhQsQh,139.5,1,
AsAhQh7s,109,1,
AsAhQh6s,109,1,
AhAdQhJc,126.5,1,
AdAcQhQd,180,1,
AdAcQdJh,126.5,1,
AsAcKdQd,130.5,1,
AhAcKdQd,130.5,1,
AsAcKsJd,123.5,1,
AsAcQsJd,126.5,1,
AsAdJdTd,128.5,1,
AdAcKdJh,123.5,1,
AsAdKdJc,123.5,1,
AhAdKdJc,123.5,1,
AdKhQhQd,139.5,1,
AsAdQdJh,126.5,1,
AdQhQdJh,134.5,1,
AsAcQsQd,180,1,
AsAcQdJs,120.5,1,
AsAhTs8h,105.5,1,
AdAcKd2c,116,1,
AhAcTh2c,100.5,1,
AhAcJh2c,103,1,
AhAcQh2c,109,1,
AhAcKh2c,116,1,
AsAcJs2c,103,1,
AsAcTs2c,100.5,1,
AhAdQd7h,109,1,
AhAdQd6h,109,1,
AhAdQd5h,109,1,
AhAdQd4h,109,1,
AhAdQd3h,109,1,
AsAdKsJc,123.5,1,
AsAdQsJc,126.5,1,
AhAdKhJc,123.5,1,
AsAhKdJh,115.5,1,
AhAdQdTd,116.5,1,
AdAcQdJs,126.5,1,
AsAhQhJc,126.5,1,
AhKsKhJh,115,1,
AsAhKsJc,123.5,1,
AhAdQd9h,111.5,1,
AhAdQd8h,109,1,
AsAdKd6s,116,1,
AhAdTh7d,105.5,1,
AdAcTd2c,100.5,1,
AdAcJd2c,103,1,
AdAcQd2c,109,1,
AsAhKs8h,116,1,
AsAhQs8h,109,1,
AsAhJs8h,105.5,1,
AdAcQd8c,109,1,
AdAcJd8c,105.5,1,
AdAcTd8c,105.5,1,
AhAcKhJd,123.5,1,
AhAcQhJd,126.5,1,
AdAcKsJd,115.5,1,
AdAcQsJd,120.5,1,
AdAcKhJd,115.5,1,
AdAcQhJd,120.5,1,
AsAdQdTd,116.5,1,
AsAhQh5s,109,1,
AhQsQhJs,134.5,1,
AsAhQh9s,111.5,1,
AsAhQh8s,109,1,
AsAhQh4s,109,1,
AdKdKcTc,130,1,
AhAcQhJs,126.5,1,
AsAcKhQh,130.5,1,
AsAcKsJh,123.5,1,
AhAcKsQs,130.5,1,
AsAcKsKh,190.5,1,
AsKdQsQd,139.5,1,
AsAhKdQd,130.5,1,
AhKdQhQd,139.5,1,
AhAcQcTc,116.5,1,
AsAhQsJc,126.5,1,
AsAhKhJc,123.5,1,
AhAdQd2h,109,1,
AhAcQh8c,109,1,
AhAcJh8c,105.5,1,
AhAcTh8c,105.5,1,
AdAcKd8c,116,1,
AsAdJs6d,103,1,
AsAdTs6d,100.5,1,
AhAdKh6d,116,1,
AhAdQh6d,109,1,
AhAdKdTd,123.5,1,
AdAcQcTc,116.5,1,
AhAdKcQc,130.5,1,
AdKcQdQc,139.5,1,
AsQsQhJh,134.5,1,
AsQhJsJh,105,1,
AhKhKdJh,115,1,
AsAcKs2c,116,1,
AhAcKhJs,123.5,1,
AsAcQsQh,180,1,
AsAcQhJs,120.5,1,
AhAcQsQh,180,1,
AhAdTd6h,100.5,1,
AhAdTd5h,100.5,1,
AhAdTd4h,100.5,1,
AhAdTd3h,100.5,1,
AhAdTd2h,100.5,1,
AsKsKdTd,130,1,
AhKhKdTd,130,1,
AsAdKdTd,123.5,1,
AhKsKdQh,118,1,
AhKsQsQh,139.5,1,
AhKhKcTc,130,1,
AsAcKhJs,115.5,1,
AhAcKsKh,190.5,1,
AsAcQs2c,109,1,
AsAdKs6d,116,1,
AsAdQs6d,109,1,
AdKsJsJd,103,1,
AdAcKdTd,123.5,1,
AdAcQdTd,116.5,1,
AdAcJdTd,128.5,1,
AhAdTd9h,115.5,1,
AhAdTd8h,105.5,1,
AsAdKcQc,130.5,1,
AsAhQsJd,126.5,1,
AsAhKhJd,123.5,1,
AsAhQhJd,126.5,1,
AdAcQc8d,109,1,
AdAcQc7d,109,1,
AsAhKsJd,123.5,1,
AsAhKcQc,130.5,1,
AhKcQhQc,139.5,1,
AhAdTd7h,105.5,1,
AhAdKh5d,116,1,
AsKhKdQs,118,1,
AsAhKhKd,190.5,1,
AhKhKdQs,120,1,
AsKsKdQh,120,1,
AsAhKs6h,116,1,
